,training set,tests,correct,incorrect,false positives,false negatives,correctness
0,82,8042,7798,244,68,176,96.96592887341457
1,163,7961,7853,108,60,48,98.64338650923251
2,244,7880,7824,56,48,8,99.28934010152284
3,325,7799,7743,56,48,8,99.28195922554174
4,407,7717,7661,56,48,8,99.2743294026176
5,488,7636,7580,56,48,8,99.26663174436878
6,569,7555,7499,56,48,8,99.25876902713435
7,650,7474,7418,56,48,8,99.25073588439925
8,732,7392,7336,56,48,8,99.24242424242425
9,813,7311,7259,52,44,8,99.28874299001505
10,894,7230,7178,52,44,8,99.2807745504841
11,975,7149,7097,52,44,8,99.27262554203385
12,1057,7067,7015,52,44,8,99.26418565162021
13,1138,6986,6934,52,44,8,99.2556541654738
14,1219,6905,6889,16,8,8,99.76828385228096
15,1300,6824,6808,16,8,8,99.76553341148886
16,1382,6742,6726,16,8,8,99.76268169682587
17,1463,6661,6645,16,8,8,99.75979582645249
18,1544,6580,6564,16,8,8,99.75683890577507
19,1625,6499,6483,16,8,8,99.75380827819664
20,1707,6417,6401,16,8,8,99.75066230325697
21,1788,6336,6320,16,8,8,99.74747474747475
22,1869,6255,6239,16,8,8,99.74420463629097
23,1950,6174,6158,16,8,8,99.74084872044055
24,2032,6092,6076,16,8,8,99.73736047275115
25,2113,6011,5995,16,8,8,99.73382132756613
26,2194,5930,5914,16,8,8,99.73018549747049
27,2275,5849,5833,16,8,8,99.72644896563516
28,2356,5768,5752,16,8,8,99.72260748959778
29,2438,5686,5678,8,0,8,99.8593035525853
30,2519,5605,5597,8,0,8,99.85727029438002
31,2600,5524,5516,8,0,8,99.8551774076756
32,2681,5443,5435,8,0,8,99.85302223038765
33,2763,5361,5353,8,0,8,99.85077410930796
34,2844,5280,5272,8,0,8,99.84848484848484
35,2925,5199,5199,0,0,0,100.0
36,3006,5118,5118,0,0,0,100.0
37,3088,5036,5036,0,0,0,100.0
38,3169,4955,4955,0,0,0,100.0
39,3250,4874,4874,0,0,0,100.0
40,3331,4793,4793,0,0,0,100.0
41,3413,4711,4711,0,0,0,100.0
42,3494,4630,4630,0,0,0,100.0
43,3575,4549,4549,0,0,0,100.0
44,3656,4468,4468,0,0,0,100.0
45,3738,4386,4386,0,0,0,100.0
46,3819,4305,4305,0,0,0,100.0
47,3900,4224,4224,0,0,0,100.0
48,3981,4143,4143,0,0,0,100.0
49,4063,4061,4061,0,0,0,100.0
50,4144,3980,3980,0,0,0,100.0
51,4225,3899,3899,0,0,0,100.0
52,4306,3818,3818,0,0,0,100.0
53,4387,3737,3737,0,0,0,100.0
54,4469,3655,3655,0,0,0,100.0
55,4550,3574,3574,0,0,0,100.0
56,4631,3493,3493,0,0,0,100.0
57,4712,3412,3412,0,0,0,100.0
58,4794,3330,3330,0,0,0,100.0
59,4875,3249,3249,0,0,0,100.0
60,4956,3168,3168,0,0,0,100.0
61,5037,3087,3087,0,0,0,100.0
62,5119,3005,3005,0,0,0,100.0
63,5200,2924,2924,0,0,0,100.0
64,5281,2843,2843,0,0,0,100.0
65,5362,2762,2762,0,0,0,100.0
66,5444,2680,2680,0,0,0,100.0
67,5525,2599,2599,0,0,0,100.0
68,5606,2518,2518,0,0,0,100.0
69,5687,2437,2437,0,0,0,100.0
70,5769,2355,2355,0,0,0,100.0
71,5850,2274,2274,0,0,0,100.0
72,5931,2193,2193,0,0,0,100.0
73,6012,2112,2112,0,0,0,100.0
74,6094,2030,2030,0,0,0,100.0
75,6175,1949,1949,0,0,0,100.0
76,6256,1868,1868,0,0,0,100.0
77,6337,1787,1787,0,0,0,100.0
78,6418,1706,1706,0,0,0,100.0
79,6500,1624,1624,0,0,0,100.0
80,6581,1543,1543,0,0,0,100.0
81,6662,1462,1462,0,0,0,100.0
82,6743,1381,1381,0,0,0,100.0
83,6825,1299,1299,0,0,0,100.0
84,6906,1218,1218,0,0,0,100.0
85,6987,1137,1137,0,0,0,100.0
86,7068,1056,1056,0,0,0,100.0
87,7150,974,974,0,0,0,100.0
88,7231,893,893,0,0,0,100.0
89,7312,812,812,0,0,0,100.0
